cidade,media_rendimento_medio_soja
Agudo,1584.0666666666666
Cacapava do Sul,0.0
Cacequi,1691.3333333333333
Cachoeira do Sul,2085.3
Capao do Cipo,0.0
Cerro Branco,1864.7666666666667
Dilermando de Aguiar,1956.6666666666667
Dona Francisca,2200.9333333333334
Faxinal do Soturno,1975.3333333333333
Formigueiro,1777.8666666666666
Itaara,2565.6666666666665
Itacurubi,1550.0
Ivora,0.0
Jaguari,1800.6333333333334
Jari,2022.0333333333333
Julio de Castilhos,0.0
Lavras do Sul,1831.4333333333334
Mata,1800.2333333333333
Nova Esperanca do Sul,0.0
Nova Palma,2357.6666666666665
Novo Cabrais,1997.2666666666667
Paraiso do Sul,0.0
Pinhal Grande,2308.8
Quevedos,2351.4
Restinga Seca,0.0
Santa Margarida do Sul,1521.5
Santa Maria,2383.1666666666665
Santana da Boa Vista,2035.9666666666667
Santiago,1887.8333333333333
Sao Francisco de Assis,0.0
Sao Gabriel,0.0
Sao Joao do Polesine,0.0
Sao Martinho da Serra,0.0
Sao Pedro do Sul,0.0
Sao Sepe,0.0
Sao Vicente do Sul,0.0
Silveira Martins,2792.3333333333335
Toropi,1773.6666666666667
Unistalda,1623.7333333333333
Vila Nova do Sul,1779.6666666666667
