cidade,media_quantidade_produzida_soja
Agudo,1302.3
Cacapava do Sul,0.0
Cacequi,38626.55
Cachoeira do Sul,211768.4
Capao do Cipo,0.0
Cerro Branco,1762.75
Dilermando de Aguiar,38753.15
Dona Francisca,745.0
Faxinal do Soturno,2579.1
Formigueiro,11809.7
Itaara,7662.55
Itacurubi,15412.65
Ivora,0.0
Jaguari,12579.75
Jari,91420.95
Julio de Castilhos,0.0
Lavras do Sul,37329.8
Mata,3728.35
Nova Esperanca do Sul,0.0
Nova Palma,16084.55
Novo Cabrais,10487.35
Paraiso do Sul,0.0
Pinhal Grande,42399.1
Quevedos,61207.5
Restinga Seca,0.0
Santa Margarida do Sul,55789.1
Santa Maria,93815.5
Santana da Boa Vista,42149.9
Santiago,71293.95
Sao Francisco de Assis,0.0
Sao Gabriel,0.0
Sao Joao do Polesine,0.0
Sao Martinho da Serra,0.0
Sao Pedro do Sul,0.0
Sao Sepe,0.0
Sao Vicente do Sul,0.0
Silveira Martins,9149.6
Toropi,2502.7
Unistalda,14404.9
Vila Nova do Sul,15535.05
